deployid,sex,baseline_end,cee_start,cee_id,series_start,series_end,ser_length,cee_start_idx,baseline_start_idx,baseline_end_idx
ZcTag107,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-09T14:40:00Z,2020-08-22T23:55:00Z,3856,2918,1,2918
ZcTag107,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-09T14:40:00Z,2020-08-22T23:55:00Z,3856,2918,3206,3856
ZcTag109,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T14:20:00Z,2020-08-23T23:55:00Z,3860,2634,1,2634
ZcTag109,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T14:20:00Z,2020-08-23T23:55:00Z,3860,2634,2922,3860
ZcTag110,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T15:35:00Z,2020-08-23T23:55:00Z,3845,2619,1,2619
ZcTag110,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T15:35:00Z,2020-08-23T23:55:00Z,3845,2619,2907,3845
ZcTag111,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T16:25:00Z,2020-08-23T23:55:00Z,3835,2609,1,2609
ZcTag111,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T16:25:00Z,2020-08-23T23:55:00Z,3835,2609,2897,3835
ZcTag131,U,2022-08-04T12:30:00Z,2022-08-04T12:30:00Z,22_01,2022-08-03T15:15:00Z,2022-08-08T23:55:00Z,1113,256,1,256
ZcTag131,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T15:15:00Z,2022-08-08T23:55:00Z,1113,597,544,597
ZcTag131,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T15:15:00Z,2022-08-08T23:55:00Z,1113,597,885,1113
ZcTag132,U,2022-08-04T12:30:00Z,2022-08-04T12:30:00Z,22_01,2022-08-03T17:20:00Z,2022-08-28T23:55:00Z,7280,231,1,231
ZcTag132,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T17:20:00Z,2022-08-28T23:55:00Z,7280,572,519,572
ZcTag132,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T17:20:00Z,2022-08-28T23:55:00Z,7280,572,860,7280
